1,婚約指輪は欲しい？いらない？,欲しい,いらない
1,新婚旅行は海外？国内？,海外,国内
1,結婚式したい？したくない？,したい,したくない
1,結婚式するなら洋？和？,洋,和
1,結婚式は格式派？アットホーム派？,格式派,アットホーム派
1,会社の人は呼びたい？呼びたくない？,呼びたい,呼びたくない
1,出し物は友達にお願いする？しない？,する,しない
1,紹介ムービー作る？作らない？,作る,作らない
1,フォトウェディングする？しない？,する,しない
1,二次会はする？しない？,する,しない
1,フラッシュモブはあり？なし？,あり,なし
2,休日は家で過ごすのが好き？外で過ごすのが好き？,家,外
2,趣味と言えるものがある？ない？,ある,ない
2,チャレンジしてみたいことがある？ない？,ある,ない
2,運動するの好き？嫌い？,好き,嫌い
2,部活・サークルはやっていた？やってない？,やっていた,やっていない
3,朝ご飯は食べる派？食べない派？,食べる派,食べない派
3,外食派？内食派？,外食派,内職派
3,好き嫌い多い？なんでも食べれる？,多い,なんでも
3,辛い物好き？苦手？,好き,苦手
3,アルコール強い？弱い？,強い,弱い
3,アレルギー持っている？持っていない？,持っている,持っていない
3,間食する？しない？,する,しない
3,食事中のTVや読書はあり？なし？,あり,なし
3,オーガニックを意識する？しない？,する,しない
3,栄養バランスを大事にしたい？好きなものを食べたい？,栄養,好きなもの
3,朝派パン派？ごはん派？,パン,ごはん
3,キノコの山派？タケノコの山派？,キノコ,タケノコ
3,リラックスするならコーヒー派？お茶・紅茶？,コーヒー,茶
4,記念日は何かしたい？特にしたくない？,したい,したくない
4,長期休暇は念入りに計画する派？特に？,計画派,しない派
4,プレゼントは欲しものを確認して欲しい？秘密で用意して欲しい？,確認,秘密
5,仕事楽しい？つまらない？,楽しい,つまらない
5,近々転職したい？したくない？,したい,しない
5,起業したい？したくない？,したい,しない
5,取りたい資格がある？ない？,ある,ない
5,仕事は残業が多い？少ない？,残業多い,少ない
5,在宅勤務はできる？できない？,できる,できない
5,昇進・昇格は重要？関心ない？,重要,関心ない
5,がむしゃらに働きたい？プライベートとのバランス重視？,がむしゃら,バランス
5,片働き派？共働き派？,片働き派,共働き派
5,付き合いのための飲み会がある？あまりない？,ある,ない
5,接待がある？ない？,ある,ない
5,国内転勤はある？ない？,ある,ない
5,海外転勤はある？ない？,ある,ない
5,パートナーが転勤したら着いて行く？単身？,着いて行く,単身
6,将来は家を購入？賃貸？,購入,賃貸
6,一軒家派？マンション派？,一軒家,マンション
6,コタツ派？いらない？,コタツ派,いらない
6,ベット派？布団派？,ベット派,布団派
6,自分の部屋欲しい？いらない？,欲しい,いらない
6,観葉植物欲しい？いらない？,欲しい,いらない
6,一緒に寝たい？別々に寝たい？,一緒,別々
6,移動は車派？電車派？,車,電車
6,同じベットで寝たい？寝たくない？,寝たい,寝たくない
6,インテリアはこだわる派？気にしない派？,こだわる,気にしない
7,掃除好き？苦手？,好き,苦手
7,料理できる？できない？,できる,できない
7,洗濯は日々する？溜めて週末？,日々,溜めて
7,掃除は日々する？溜めて週末？,日々,溜めて
7,裁縫はできる？できない？,できる,できない
7,食事は週末に作り置き派？日々作る派？,週末,日々
7,家事サービスを使うのはあり？なし？,あり,なし
7,整理整頓がされていて欲しい？気にならない？,欲しい,気にならない
8,ブランドが好き？関心ない？,好き,関心ない
8,部屋着ジャージはあり？なし？,あり,なし
8,パンツいっちょで出歩くのはあり？なし？,あり,なし
8,服は修理派？買い替え派？,修理派,買い替え派
8,服は高くて長持ちさせる派？安くて短期買い替え派？,長期派,短期派
9,投資したことある？ない？,ある,ない
9,財布は家族で1つ？別々？,1つ,別々
9,給料の一部は必ず貯金する？その時々？,貯金する,その時々
9,保険入っている？入っていない？,入っている,入っていない
9,お小遣い制？自由制？,お小遣い制,自由制
9,家計簿付けてる？付けていない？,付けてる,付けていない
9,家計簿は必要？いらない？,必要,いらない
9,支払いはカード派？現金派？,カード,現金
10,子どもは欲しい？欲しくない？,欲しい,欲しくない
10,子どもがいても仕事は続けたい？子育てに集中したい？,続けたい,子育てに集中
10,子どもに習い事させたい？興味持てばさせたい？,させたい,興味持てば
10,子どもは塾に行かせたい？自主性に任せる？,行かせる,自主性
10,子どもは私立小学校？公立小学校？,私立,公立
10,出産は立ち会いたい？血が。。。無理？,立ち会いたい,立ち会わなくていい
10,子どもは1人でいい？複数欲しい？,1人,複数
10,子どもには好きにさせたい？道を示してあげた方がいい？,好きに,道を示す
10,育休取れる？取れない？,取れる,取れない
10,赤ちゃんグッズはレンタル・中古でいい？新品？,レンタル・中古,新品
10,赤ちゃんの世話はしたことある？ない？,ある,ない
10,大学生の子どもの1人暮らしあり？なし？,あり,なし
10,不妊治療してでも子供欲しい？欲しくない？,欲しい,欲しくない
10,授業参観は休んでも参加したい？難しい？,したい,難しい
11,ペット飼ってる？飼ってない？,飼いたい,飼いたくない
11,ペット飼いたい？飼いたくない？,飼いたい,飼いたくない
11,墓参りは行事に合わせて行きたい？たまにでいい？,行事事,たまに
11,年末年始は帰郷する派？しない派？,する,しない
11,親に仕送りしてる？していない？,している,していない
11,悩みを話す時は、相手に解決策を出して欲しい？ただ聞いて欲しい？,解決,聞いて
12,将来は親の家の近くに引っ越す？引っ越さない？,引っ越す,引っ越さない
12,親との同居あり？なし？,あり,なし
12,介護が必要になった時、仕事は続けたい？辞めたい？,続けたい,辞めたい
12,介護経験はある？ない？,ある,ない
12,親と遺言の話は事前にした方がいい？いらない？,いる,いらない
12,介護休暇は取れる？取れない？,取れる,取れない
13,パートナーの友達と一緒に遊ぶのはいい？人見知り？,いい,人見知り
13,友達を家に呼ぶのはいい？あげたくない？,いい,あげたくない
13,結婚してからも友人と旅行したい？,したい,特に
13,ご近所の人と仲良くしたい？興味ない？,したい,興味ない
13,性別の違う友達と1対1でご飯や遊びはあり？ダメ？,あり,ダメ
13,どこからが浮気、2人で食事から？キス含んだ体の接触から？,,
14,髭は好き？嫌い？,好き,嫌い
14,美容は大事にしたい？関心ない？,大事にしたい,関心ない
14,長風呂派？短い？,長風呂,短い
14,お風呂は夜派？朝派？,夜派,朝派
14,敏感肌？鈍感肌？,敏感肌,鈍感肌
15,定期的にマッサージ行く？行かない？,行く,行かない
15,アレルギー持っている？持っていない？,持っている,持っていない
15,持病を持っている？持っていない？,持っている,持っていない
15,寝たい時間が決まってる？特に決めていない？,決まってる,決まってない
15,いびきや歯ぎしり気になる？気にならない？,気になる,気にならない
15,朝弱い？強い？,弱い,強い
16,セックスは好き？きらい？,好き,きらい
16,攻めるの好き？特に？,好き,特に
16,攻められるの好き？特に？,好き,特に
